DATE,SFXRLTNSA
2013-04-01,143.0808
2013-05-01,150.41926999999998
2013-06-01,158.47541
2013-07-01,165.18892
2013-08-01,170.21372
2013-09-01,171.91145
2013-10-01,172.60243
2013-11-01,173.06131000000002
2013-12-01,174.59853
2014-01-01,175.5857
2014-02-01,176.86654
2014-03-01,180.43602489395698
2014-04-01,186.833664491917
2014-05-01,194.873544129773
2014-06-01,196.150915216009
2014-07-01,196.594162119085
2014-08-01,196.52459913459
2014-09-01,197.7770486709
2014-10-01,199.46676319520802
2014-11-01,196.87416033041302
2014-12-01,196.71398619439498
2015-01-01,195.615255155937
2015-02-01,200.162476638354
2015-03-01,203.50978540383701
2015-04-01,209.856848095591
2015-05-01,212.68016339314
2015-06-01,216.438171498918
2015-07-01,218.137574124819
2015-08-01,220.22564332305802
2015-09-01,221.497664125001
2015-10-01,221.19853121637698
2015-11-01,221.37744063610802
2015-12-01,223.568391342729
2016-01-01,224.171245771854
2016-02-01,225.325978310315
2016-03-01,229.59150175149898
2016-04-01,233.255694108391
2016-05-01,236.26706818336
2016-06-01,239.574463456471
2016-07-01,241.91500848346803
2016-08-01,243.734290916806
2016-09-01,243.579346312137
2016-10-01,244.62918169691798
2016-11-01,244.776946145757
2016-12-01,246.34678086262798
2017-01-01,246.71128755745602
2017-02-01,248.58931165376
2017-03-01,253.747394414365
2017-04-01,257.411614637321
2017-05-01,260.80140986175496
2017-06-01,261.73235932871603
2017-07-01,263.957687469656
2017-08-01,265.136691349883
2017-09-01,265.918176538099
2017-10-01,268.632535525309
2017-11-01,270.788161351434
2017-12-01,273.391483362191
