DATE,LXXRLTNSA
2013-06-01,203.38998
2013-07-01,209.92504
2013-08-01,214.26751000000002
2013-09-01,219.15186
2013-10-01,221.57314
2013-11-01,223.71299
2013-12-01,223.86131
2014-01-01,222.77173
2014-02-01,224.93436
2014-03-01,226.316680784202
2014-04-01,227.742198504973
2014-05-01,231.059501228304
2014-06-01,233.569222547562
2014-07-01,235.73794017548198
2014-08-01,234.984825292038
2014-09-01,236.54760052619702
2014-10-01,238.058486757283
2014-11-01,240.691524418327
2014-12-01,241.30500181779098
2015-01-01,240.88536502698102
2015-02-01,242.183060453741
2015-03-01,244.62836264807999
2015-04-01,248.45210053628998
2015-05-01,252.246450961556
2015-06-01,254.24762054129903
2015-07-01,254.63263957806498
2015-08-01,255.423363641038
2015-09-01,256.10224790025103
2015-10-01,258.647584115382
2015-11-01,260.94617476296
2015-12-01,261.295503647866
2016-01-01,263.249760526679
2016-02-01,264.970874357599
2016-03-01,269.096172392933
2016-04-01,271.7075645507
2016-05-01,274.004095065633
2016-06-01,275.10624721703203
2016-07-01,277.56556583896
2016-08-01,279.692224777116
2016-09-01,282.030879830801
2016-10-01,282.31854584131503
2016-11-01,283.736810766334
2016-12-01,284.388715754188
2017-01-01,286.830386847152
2017-02-01,288.689266169373
2017-03-01,291.604052838948
2017-04-01,293.642464725284
2017-05-01,296.447471723744
2017-06-01,300.72215289338
2017-07-01,303.65116294450803
2017-08-01,306.380387164005
2017-09-01,307.523111699425
2017-10-01,309.390617239162
2017-11-01,311.248047883632
2017-12-01,314.832311814038
