DATE,MIXRNSA
2003-04-01,150.661362355277
2003-05-01,152.18567925706898
2003-06-01,153.163966882234
2003-07-01,155.507921023404
2003-08-01,157.954011737634
2003-09-01,159.93344814731398
2003-10-01,162.25278138956
2003-11-01,163.951925757781
2003-12-01,166.27496213555202
2004-01-01,168.485038657175
2004-02-01,171.656212782147
2004-03-01,175.008915213499
2004-04-01,178.132921007154
2004-05-01,181.92850448842898
2004-06-01,185.998643690821
2004-07-01,189.861061093077
2004-08-01,193.560210129736
2004-09-01,197.069230874226
2004-10-01,200.58895786089298
2004-11-01,204.966853235718
2004-12-01,209.01240196923803
2005-01-01,213.55582518448398
2005-02-01,218.603095808722
2005-03-01,225.325788878454
2005-04-01,231.391627845851
2005-05-01,237.11936160282798
2005-06-01,243.77009327288502
2005-07-01,249.72786799649398
2005-08-01,256.009729016165
2005-09-01,261.33548184486096
2005-10-01,266.133304751711
2005-11-01,269.563465224086
2005-12-01,272.998617694344
2006-01-01,276.69308612532905
2006-02-01,280.606431808933
2006-03-01,284.050319987936
2006-04-01,288.609800012019
2006-05-01,290.878745441928
2006-06-01,290.380462437808
2006-07-01,289.958467562887
2006-08-01,288.579121071824
2006-09-01,288.11853465268996
2006-10-01,288.04181980873
2006-11-01,288.51753639467
2006-12-01,289.740893747232
2007-01-01,291.990468774458
2007-02-01,293.04388756272596
2007-03-01,290.282613873701
2007-04-01,286.36991926980596
2007-05-01,284.789057814536
2007-06-01,281.26601022089903
2007-07-01,276.937247714924
2007-08-01,269.457779341289
2007-09-01,261.603343570337
2007-10-01,257.912810498173
2007-11-01,252.32251063199402
2007-12-01,245.262303293933
2008-01-01,237.416410493872
2008-02-01,231.90524386607
2008-03-01,223.01057077435797
2008-04-01,212.113841139492
2008-05-01,201.212742636941
2008-06-01,194.165813499489
2008-07-01,189.542912571729
2008-08-01,185.379133570139
2008-09-01,181.407572417186
2008-10-01,176.54240594452702
2008-11-01,171.83093262730802
2008-12-01,166.405169126635
2009-01-01,160.647370934319
2009-02-01,155.54573917935102
2009-03-01,152.245235272122
2009-04-01,149.270494901497
2009-05-01,147.306942682579
2009-06-01,146.61365831547
2009-07-01,146.79085003425502
2009-08-01,146.773944498638
2009-09-01,146.130419652766
2009-10-01,145.975712239144
2009-11-01,145.714960136765
2009-12-01,145.604263779453
2010-01-01,145.39503209049
2010-02-01,147.158224528361
2010-03-01,144.369201217066
2010-04-01,143.799644170508
2010-05-01,144.025463073758
2010-06-01,144.446162114728
2010-07-01,143.79658072703302
2010-08-01,143.001844694339
2010-09-01,141.54556690536998
2010-10-01,140.460538201954
2010-11-01,138.997169825399
2010-12-01,138.787300543428
2011-01-01,137.93658732006799
2011-02-01,136.45221286038
2011-03-01,134.567660682887
2011-04-01,135.031046232253
2011-05-01,134.063359952328
2011-06-01,132.88532114605
2011-07-01,132.026262217627
2011-08-01,131.91250803926002
2011-09-01,132.679599299445
2011-10-01,132.27296550799602
2011-11-01,132.492266981872
2011-12-01,132.558381848991
2012-01-01,133.048505262821
2012-02-01,134.387052454506
2012-03-01,135.51105367295798
2012-04-01,136.15842090673402
2012-05-01,138.120504048117
2012-06-01,139.171589046287
2012-07-01,141.433182367734
2012-08-01,141.32827382337098
2012-09-01,141.610447469457
2012-10-01,142.12170806571
2012-11-01,145.219895586082
2012-12-01,146.72475648016
2013-01-01,149.13856990675302
2013-02-01,150.652438210011
2013-03-01,152.3570434677
2013-04-01,155.44356890772102
2013-05-01,159.222835947934
2013-06-01,161.901490264611
2013-07-01,164.017883207829
2013-08-01,166.107736563125
2013-09-01,168.829585576673
2013-10-01,171.915714516418
2013-11-01,174.62633670921397
2013-12-01,177.317730692929
2014-01-01,179.068695191494
2014-02-01,181.066492609944
2014-03-01,183.520662328311
2014-04-01,185.181984812817
2014-05-01,186.046520735453
2014-06-01,186.86390660253798
2014-07-01,189.15958598177502
2014-08-01,190.11594917479698
2014-09-01,191.594473290169
2014-10-01,191.896038536462
2014-11-01,192.873805435545
2014-12-01,194.965264234926
2015-01-01,196.62652477391003
2015-02-01,199.069643826619
2015-03-01,200.816303425272
2015-04-01,202.577495857738
2015-05-01,203.768550623171
2015-06-01,204.739750589402
2015-07-01,205.13440051547798
2015-08-01,206.385431905284
2015-09-01,208.001064498643
2015-10-01,209.43875768760398
2015-11-01,210.666954152131
2015-12-01,211.60861854390498
2016-01-01,213.404604285062
2016-02-01,215.883848547644
2016-03-01,216.423251095921
2016-04-01,217.690918070544
2016-05-01,218.269133189632
2016-06-01,220.49234447473202
2016-07-01,221.08715921851
2016-08-01,222.897631472244
2016-09-01,224.05174569648102
2016-10-01,226.374999331015
2016-11-01,227.869884310794
2016-12-01,228.88006440352402
2017-01-01,230.417278728501
2017-02-01,231.132077803176
2017-03-01,231.99696545470798
2017-04-01,232.72807145306498
2017-05-01,233.950528940106
2017-06-01,234.35673091326902
2017-07-01,236.381873400236
2017-08-01,237.16492124212002
2017-09-01,238.467655620507
2017-10-01,239.287072930527
2017-11-01,241.21910491366
2017-12-01,242.668674482126
