DATE,LXXRNSA
2016-05-01,247.98389694122798
2016-06-01,249.569672239103
2016-07-01,251.06314410149602
2016-08-01,251.81736332601298
2016-09-01,252.439320794693
2016-10-01,252.12429216650298
2016-11-01,252.42172699354
2016-12-01,253.03989065065102
2017-01-01,254.005605385631
2017-02-01,254.77316934234298
2017-03-01,257.330928648816
2017-04-01,259.034207775523
2017-05-01,261.713084516347
2017-06-01,263.355918740226
2017-07-01,266.244972641993
2017-08-01,266.891997720617
2017-09-01,267.881196149211
2017-10-01,268.385194531671
2017-11-01,270.209714391606
2017-12-01,272.046184757984
