DATE,NYXRNSA
2012-01-01,160.63009
2012-02-01,158.87115
2012-03-01,157.39784
2012-04-01,157.95215
2012-05-01,160.17574
2012-06-01,163.26877
2012-07-01,165.16967
2012-08-01,166.40903
2012-09-01,166.3022
2012-10-01,165.15605
2012-11-01,162.88338000000002
2012-12-01,161.9588
2013-01-01,161.23082
2013-02-01,161.46399
2013-03-01,160.25279
2013-04-01,161.97366
2013-05-01,164.64127
2013-06-01,167.95656
2013-07-01,170.46586000000002
2013-08-01,172.29222
2013-09-01,173.22823
2013-10-01,173.29304
2013-11-01,172.71931
2013-12-01,171.96073
2014-01-01,171.96688
2014-02-01,171.29252
2014-03-01,170.613406007437
2014-04-01,170.802244705354
2014-05-01,172.29292476109902
2014-06-01,175.075889284316
2014-07-01,177.01962049806
2014-08-01,177.876866743586
2014-09-01,177.43067394522998
2014-10-01,176.406031117662
2014-11-01,174.78123311132703
2014-12-01,174.709308012961
2015-01-01,174.771656736995
2015-02-01,174.801525672603
2015-03-01,174.355936877511
2015-04-01,175.621343199731
2015-05-01,177.22957982624402
2015-06-01,179.430655398439
2015-07-01,180.76113820136902
2015-08-01,181.609246462028
2015-09-01,181.50609829170503
2015-10-01,180.990260020205
2015-11-01,180.42092849188302
2015-12-01,179.755706574394
2016-01-01,179.43387025452202
2016-02-01,179.059378488805
2016-03-01,179.53479725155103
2016-04-01,180.552367395737
2016-05-01,181.339208293044
2016-06-01,183.251404691211
2016-07-01,184.66847428464402
2016-08-01,185.592764892481
2016-09-01,185.47384444337501
2016-10-01,184.844365880336
2016-11-01,185.172339652731
2016-12-01,185.288132923647
2017-01-01,186.108534970064
2017-02-01,185.95743673416302
2017-03-01,187.358958114539
2017-04-01,188.40265627089002
2017-05-01,189.230471970274
2017-06-01,190.174996687458
2017-07-01,191.730587610116
2017-08-01,193.19758489271598
2017-09-01,194.607961740303
2017-10-01,195.28367577900798
2017-11-01,195.32502077663298
2017-12-01,195.34348184413997
